Year_Month,Sum of Sales,BUILD FOR_Total_Trailer,"Class 4, North America_Inventories (Ward's)_indicators_m_trucking_trailer",G325_indicators_m_trucking,"FTR Active Truck Utilization (%, SA)_freight_m_trucking",Change in Payroll Employment (000's)_driver_indicators_m_trucking,"Total Classes 4-7, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Truck Loadings_Y/Y % Change_freight_m_trucking_trailer,"Total Class 8, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer",Change in Distillate Fuel Inventories_x,"OEM Net Orders (U.S. / CAN, units)_indicators_m_trucking",FTR Rail Intermodal Loadings_Y/Y % Change_freight_m_trucking_trailer,"Class 6-7 Bus, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer",Change in Distillate Fuel Inventories_x,FTR Truck Loadings_M/M % Change_freight_m_trucking_trailer,"Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,"Total Class 8, North America_Factory Shipments (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Intermodal Competitive Index_Intermodal Competitive Index (0=Neutral)_x,"Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Class 8, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,LEI_indicators_m_trucking,"Western Canadian Port Activity, Total TEUs_Exports_x",FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,"OEM Net Orders (U.S. / CAN, units)_indicators_m_trucking","Total Classes 4-7, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","FTR Rail Carloadings (carload + intermodal) (000s, SA)_freight_m_trucking_trailer",Change in Truck Emp. (000's)_driver_indicators_m_trucking,BUILD FOR_All_Other,PORTEU_indicators_m_trucking,BUILD FOR_All_Other,Change in Truck Emp. (000's)_driver_indicators_m_trucking,"Total Classes 4-7, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_Y/Y % Change_indicators_m_trucking_trailer","Class 4, North America_Factory Shipments (Ward's)_indicators_m_trucking_trailer","Total Classes 4-7, North America_Factory Shipments (Ward's)_Y/Y % Change_indicators_m_trucking_trailer",Canada Origin Intermodal Volumes_Domestic_x
2017-05,369806.85,25597.0,7291.0,96.9618,99.99004053692995,155.0,13.516079269016256,2.5408076673488766,11.805581803365971,2.508583841356593,-847.0,14412.0,-2.2962159423573825,1999.0,-847.0,0.4877289542846386,2.90234738547448,-0.0610627176391154,-0.0610627176391154,13.305463456825729,2.400235605949041,2.90234738547448,-0.0610627176391154,2.0,2.400235605949041,2.5408076673488766,-1.3221384083599297,0.3,109197.0,-1.3221384083599297,14412.0,13.516079269016256,2870.148193163044,-2.0,1619.0,1911340.0,1619.0,-2.0,-4.038053875187431,-13.739921438908407,2373.0,-4.038053875187431,57602.0
2017-06,486335.8300000001,26898.0,8261.0,97.426,100.0,216.0,20.865565544637256,-0.0462467140492695,11.812861831216503,32.56545218401805,-2185.0,15432.0,4.123896176252906,2429.0,-2185.0,-0.3040529493242849,7.143335678156304,-1.305572916168063,-1.305572916168063,23.69592875318065,24.973636276483568,7.143335678156304,-1.305572916168063,2.0,24.973636276483568,-0.0462467140492695,0.193765703687232,0.6,104181.0,0.193765703687232,15432.0,20.865565544637256,2832.67631569922,0.0,1601.0,1848349.0,1601.0,0.0,2.4283997596635354,-0.7461550175117959,2612.0,2.4283997596635354,56460.0
2017-07,378053.77000000025,23577.0,8597.0,98.1632,100.0,215.0,-10.175575160006922,2.0309265798124976,7.629764181765042,-7.430516165626777,-540.0,15475.0,2.851843256427133,2401.0,-540.0,0.8066755022239525,-1.3068421628550486,-2.463111901023929,-2.463111901023929,-4.2581640524556486,-12.879717704817429,-1.3068421628550486,-2.463111901023929,1.6994435938836736,-12.879717704817429,2.0309265798124976,-1.639561069508888,0.3,103795.0,-1.639561069508888,15475.0,-10.175575160006922,2762.9043282497464,2.0,1508.0,1951906.0,1508.0,2.0,-11.42467222303456,-6.434338441258857,1609.0,-11.42467222303456,54649.0
2017-08,443671.4299999997,26900.0,8856.0,95.5935,99.84074355073751,184.0,0.6788310625391203,1.4940690708608706,7.490340612226709,16.666666666666675,-3248.0,18728.0,4.566492150937829,2632.0,-3248.0,0.0573004528761522,3.424408014571956,1.3589147645957975,1.3589147645957975,16.377504431433643,12.692612485691646,3.424408014571956,1.3589147645957975,5.26789446127608,12.692612485691646,1.4940690708608706,1.8835565535907817,0.4,99632.0,1.8835565535907817,18728.0,0.6788310625391203,2800.4498430979893,1.0,1687.0,2013566.0,1687.0,1.0,7.203623908960344,2.985314825990737,2018.0,7.203623908960344,61341.0
2017-09,452598.2399999997,25051.0,8038.0,93.3879,99.84333438672677,18.0,9.54475899005356,1.987066431510876,7.538350917447434,5.82505729564553,-10359.0,19704.0,5.083454172186697,2531.0,-10359.0,-0.0240888049020338,0.8407736955756029,1.75694540142719,1.75694540142719,7.029447059909533,5.08262687033636,0.8407736955756029,1.75694540142719,6.957509597098097,5.08262687033636,1.987066431510876,0.7602209979764574,0.1,99177.0,0.7602209979764574,19704.0,9.54475899005356,2849.652217835574,4.0,1606.0,1930005.0,1606.0,4.0,23.089430894308947,7.402970771442252,2123.0,23.089430894308947,59256.0
2017-10,400498.2400000001,25331.0,7867.0,98.616,99.53775265997965,267.0,-14.84634188929631,6.557528245330868,5.40893314434423,-11.275040606388744,-7576.0,33802.0,5.64842724547916,2199.0,-7576.0,0.2294294036343958,-1.4093490872642225,-0.4554730705478627,-0.4554730705478627,0.0086247789900406,-12.346642873076064,-1.4093490872642225,-0.4554730705478627,9.955927113185462,-12.346642873076064,6.557528245330868,-1.5598208578851305,1.3,109649.0,-1.5598208578851305,33802.0,-14.84634188929631,2836.6728193790627,3.0,1766.0,1868035.0,1766.0,3.0,21.704382183908045,11.570130607609318,1388.0,21.704382183908045,59786.0
2017-11,375167.42,22472.0,8607.0,99.1415,100.0,225.0,19.910801250833043,4.072359025403549,6.093445062452951,10.139842359521989,2815.0,30785.0,5.634818701257971,2395.0,2815.0,0.1328431803155005,1.900859545888656,-0.3708755308684197,-0.3708755308684197,3.811823552240101,14.09424439071978,1.900859545888656,-0.3708755308684197,8.550149111316278,14.09424439071978,4.072359025403549,-0.5147890640941233,0.4,107233.0,-0.5147890640941233,30785.0,19.910801250833043,2826.1522940011905,1.0,1554.0,1967203.0,1554.0,1.0,51.44401658767772,9.123362135410318,2392.0,51.44401658767772,60145.0
2017-12,324976.28,19159.0,5465.0,99.0582,100.0,130.0,-9.751613868581932,3.418163672654684,5.656585046796714,3.822891176877974,12874.0,34121.0,4.833920840551165,1922.0,12874.0,0.1950731953686224,-5.659692828637075,-1.826212798987448,-1.826212798987448,-0.1827622014537899,-6.873605947955386,-5.659692828637075,-1.826212798987448,7.490237455883042,-6.873605947955386,3.418163672654684,-2.415121396627306,0.6,112421.0,-2.415121396627306,34121.0,-9.751613868581932,2774.540739089264,2.0,1252.0,1940453.0,1252.0,2.0,19.43124835048826,1.3594982803965203,1740.0,19.43124835048826,51532.0
2018-01,469567.97,23134.0,7334.0,97.7663,99.57433690041177,121.0,-0.1468498342018009,3.4258142340168884,6.15125118475901,2.9750522524125023,-4445.0,46259.0,4.789726649700721,2201.0,-4445.0,1.0817407270004686,2.7929111652352345,2.8631014115948705,2.8631014115948705,5.1808081228413405,1.1177198515029296,2.7929111652352345,2.8631014115948705,10.803406996382822,1.1177198515029296,3.4258142340168884,2.9355203428897525,0.8,90612.0,2.9355203428897525,46259.0,-0.1468498342018009,2853.978654155403,4.0,1622.0,1885350.0,1622.0,4.0,13.589167526868671,6.926973406500636,1473.0,13.589167526868671,54702.0
2018-02,434532.3800000002,23973.0,7261.0,98.4095,99.92703632223083,406.0,-3.5580435504530605,-0.9194463883057336,6.132013590180652,-3.1093453100708213,-2551.0,36934.0,4.965755962704166,1588.0,-2551.0,0.4311262369716573,-1.2392636124144651,2.6943897365597547,2.6943897365597547,-11.841272353220443,-11.286565867908882,-1.2392636124144651,2.6943897365597547,9.857086828812678,-11.286565867908882,-0.9194463883057336,2.801470857438937,0.7,95027.0,2.801470857438937,36934.0,-3.5580435504530605,2930.8759620965725,7.0,1778.0,1808668.0,1778.0,7.0,18.7610499116007,3.801561273038012,1894.0,18.7610499116007,52833.0
