Year_Month,Sum of Sales,"Food & Kindred Products (000s, SA)_freight_m_trucking",Super Long-Haul (550+ mi)_freight_m_trucking,Change in Total Transp. Emp. (000's)_driver_indicators_m_trucking,"Total Class 8, North America_Retail Sales (Ward's)_M/M % Change_indicators_m_trucking_trailer","Total Trailers, U.S._Production_M/M % Change_indicators_m_trucking_trailer","Total Classes 4-7, North America_Inventories (Ward's)_M/M % Change_indicators_m_trucking_trailer",FTR Truck Loadings_M/M % Change_freight_m_trucking_trailer,FTR Rail Intermodal Loadings_M/M % Change_freight_m_trucking_trailer,"FTR Rail Carloadings (carload + intermodal) (000s, SA)_freight_m_trucking_trailer",FTR Rail Carloadings_M/M % Change_freight_m_trucking_trailer,FTR Cl. 8 Truck Tonnage_M/M % Change_freight_m_trucking_trailer,Change in Distillate Fuel Inventories_x
2009-04,380974.7699999997,7323.183711618696,5548.464013924579,-46.0,-42.68184130213631,-55.8145938503901,-2.6908574506635308,-2.714503722415273,-14.369449726609108,2527.1296393283715,6.853573405641766,-3.187310443732572,4757.0
2009-05,408980.9000000001,7462.533304502152,5502.236093493138,-18.0,-9.495285635052683,13.128375571250528,-4.45613063935787,0.5010287038185623,-4.857252631867858,2530.867426529102,0.1479064288021137,1.137062014288337,6648.0
2009-06,423990.9599999996,7379.520206960281,5540.269854178228,-17.0,27.06213996813336,17.040029379361,2.2042557674075702,-1.1344867918037127,0.7554588117213434,2498.9925913450284,-1.2594431004150808,-1.3060136142507783,6017.0
2009-07,446763.1499999999,7168.831167233889,5354.833137478523,-22.0,-18.08623516928716,-7.028553498588009,-4.893194877476869,-1.9352107789583184,-2.2802129197336485,2179.2596457747586,-12.794473528158024,-1.8176977115018864,3217.0
2009-08,400480.9599999994,7195.774326105495,5348.200324008424,-10.0,1.70748940178993,-0.843739453256831,-3.1211053914928177,0.0386843793939606,-1.148525359053254,2149.578549772873,-1.3619807102578485,0.5858683376660068,2709.0
2009-09,440180.1599999993,7239.843896309777,5414.791035024644,-8.0,12.400138937130944,11.70864533696392,-2.737848872979476,-0.1006486848151966,0.7626525277224516,2204.003793544796,2.53190299920294,0.1726141436746431,4082.0
2009-10,551296.4899999999,7090.9693445236535,5377.020403960549,-16.0,-1.133086114544701,3.1383302864107288,-3.927657494465053,-1.7105316195305087,1.392824383575153,2548.715873451719,15.640267086496618,-2.808575442339045,-1567.0
2009-11,440301.6999999995,7097.689264060705,5319.701957980618,-6.0,-6.720150031256511,15.805022156573113,-3.747044563493251,1.1852261909466089,-0.1680041042878999,2557.5250052566284,0.3456302013365997,1.4243864213314694,-39.0
2009-12,419378.3299999999,7031.66713615475,5286.168452441416,-50.0,10.912543281581598,-1.8494897959183687,-4.054600292279464,0.6763399022216454,1.544073488280584,2576.7589955143835,0.7520548271560346,0.5152831913788125,-5161.0
2010-01,455511.09,7269.398962692127,5541.986383250668,21.0,12.165156092648544,-2.820012995451593,0.7972259130829329,-2.581922094790224,2.7201188027171863,2526.8721147088963,-1.9360320810883125,-3.176898457200461,-2943.0
